ID,first_name,last_name,street_po_box,city,state,ZIP_Code,telephone,email,annual_salary,employee_type
32,Helen,Gilbert,721 Sheridan Junction,Providence,RI,2905,1464952592,Helen.Gilbert@digitalsales.com,85146.54,store manager
33,Gerald,Robertson,248 Kipling Court,Modesto,CA,95354,401089085,Gerald.Robertson@digitalsales.com,98578.16,region manager
34,Gregory,Hunter,74636 Hoffman Street,Colorado Springs,CO,80910,9467289994,Gregory.Hunter@digitalsales.com,68776.62,salesperson
35,Harold,Robertson,98 Towne Hill,Springfield,IL,62711,2489432957,Harold.Robertson@digitalsales.com,22512.35,salesperson
36,Lillian,Hughes,8397 Sheridan Point,Washington,DC,20370,7861551103,Lillian.Hughes@digitalsales.com,84465.18,store manager
37,Joseph,Diaz,6 Delaware Drive,Des Moines,IA,50315,7938981054,Joseph.Diaz@digitalsales.com,77898.79,salesperson
38,Judy,Greene,973 Vidon Drive,Denver,CO,80223,9703857465,Judy.Greene@digitalsales.com,41405.82,salesperson
39,Martha,Burke,494 Marquette Parkway,Richmond,VA,23260,9763133718,Martha.Burke@digitalsales.com,53085.33,salesperson
40,Scott,Wallace,844 Blaine Park,Little Rock,AR,72215,4092384301,Scott.Wallace@digitalsales.com,53912.60,salesperson
41,Maria,Hernandez,39789 Donald Parkway,Tucson,AZ,85725,7894725724,Maria.Hernandez@digitalsales.com,52477.83,salesperson
42,Bobby,Hawkins,0 Tennessee Hill,Los Angeles,CA,90081,5788892379,Bobby.Hawkins@digitalsales.com,30950.17,salesperson
43,Johnny,Hansen,047 Bunker Hill Trail,Louisville,KY,40215,7079019435,Johnny.Hansen@digitalsales.com,89195.20,store manager
44,Alan,Reynolds,1592 Ridgeway Junction,Fairbanks,AK,99790,3285503829,Alan.Reynolds@digitalsales.com,67073.18,salesperson
45,Jonathan,Walker,7472 Eagle Crest Pass,El Paso,TX,88574,7287426122,Jonathan.Walker@digitalsales.com,50843.05,salesperson
46,Martin,Wallace,5 Harper Place,Shawnee Mission,KS,66205,4594322449,Martin.Wallace@digitalsales.com,55054.48,salesperson
47,Diane,Jones,2849 Fairfield Lane,El Paso,TX,79923,9042440900,Diane.Jones@digitalsales.com,29593.59,salesperson
48,Kenneth,Lawson,99 Jenifer Hill,Moreno Valley,CA,92555,7302012407,Kenneth.Lawson@digitalsales.com,40489.15,salesperson
49,Rachel,Castillo,60 Warbler Park,Houston,TX,77085,4477150837,Rachel.Castillo@digitalsales.com,73394.47,salesperson
50,Jonathan,Walker,08 Scoville Center,Peoria,IL,61629,2150420119,Jonathan.Walker@digitalsales.com,20252.87,salesperson
51,Marilyn,Wheeler,9 Lillian Place,Philadelphia,PA,19093,5770238457,Marilyn.Wheeler@digitalsales.com,78598.24,salesperson
52,Eugene,Black,93886 Twin Pines Lane,New York City,NY,10131,1848531062,Eugene.Black@digitalsales.com,56968.05,salesperson
53,Keith,Freeman,04 Blaine Avenue,Lansing,MI,48912,436458332,Keith.Freeman@digitalsales.com,65118.21,salesperson
54,Elizabeth,Simpson,439 Green Ridge Point,Sacramento,CA,94291,3913418635,Elizabeth.Simpson@digitalsales.com,41261.38,salesperson
55,Norma,Romero,916 Anthes Crossing,Duluth,MN,55811,7488439312,Norma.Romero@digitalsales.com,94478.09,store manager
56,Henry,Howard,1 Esch Drive,Racine,WI,53405,3128357366,Henry.Howard@digitalsales.com,58617.73,salesperson
57,Sharon,Riley,23 Anzinger Pass,Baltimore,MD,21290,3299330869,Sharon.Riley@digitalsales.com,51797.32,salesperson
58,Larry,Owens,0100 Declaration Park,Portland,OR,97232,5326734135,Larry.Owens@digitalsales.com,25440.13,salesperson
59,Lori,Black,6 Carpenter Avenue,Memphis,TN,38109,8835829340,Lori.Black@digitalsales.com,44708.06,salesperson
60,Nicholas,Grant,9 Gerald Center,San Diego,CA,92160,483856079,Nicholas.Grant@digitalsales.com,62991.90,salesperson
61,Ronald,Mendoza,151 Gerald Parkway,Amarillo,TX,79165,5839672779,Ronald.Mendoza@digitalsales.com,28197.13,salesperson
62,Rose,Coleman,9447 Kim Terrace,Ocala,FL,34479,9094249189,Rose.Coleman@digitalsales.com,78533.08,salesperson
63,Gerald,Murray,2 Anzinger Plaza,Edmond,OK,73034,7967217443,Gerald.Murray@digitalsales.com,28980.79,salesperson
64,Harry,Perkins,4 Hanson Junction,Las Vegas,NV,89140,8891442485,Harry.Perkins@digitalsales.com,27149.17,salesperson
65,Anna,Lynch,86 Basil Circle,Fort Smith,AR,72916,3986239089,Anna.Lynch@digitalsales.com,29635.18,salesperson
66,Gloria,Crawford,08 Maple Avenue,Palatine,IL,60078,7910332828,Gloria.Crawford@digitalsales.com,52107.16,salesperson
67,Katherine,Simpson,06208 Forest Court,Austin,TX,78778,9391643813,Katherine.Simpson@digitalsales.com,23935.47,salesperson
68,Gregory,Sanders,6169 Red Cloud Circle,Arlington,TX,76004,9400923796,Gregory.Sanders@digitalsales.com,91301.19,store manager
69,Mildred,Lynch,81094 Anderson Street,Fort Worth,TX,76129,4512595099,Mildred.Lynch@digitalsales.com,45282.77,salesperson
70,Joseph,Cole,251 Namekagon Parkway,Seminole,FL,34642,219633019,Joseph.Cole@digitalsales.com,59134.19,salesperson
71,Eric,Lewis,3 Vidon Park,Albany,NY,12255,6283729740,Eric.Lewis@digitalsales.com,87805.37,store manager
72,Steven,Johnston,62695 Oak Valley Center,Austin,TX,78710,1499534682,Steven.Johnston@digitalsales.com,35832.88,salesperson
73,Rachel,Davis,6 Dahle Trail,Gary,IN,46406,3161997506,Rachel.Davis@digitalsales.com,56006.80,salesperson
74,Gloria,Gibson,310 Rieder Alley,Nashville,TN,37220,8396116549,Gloria.Gibson@digitalsales.com,92467.94,store manager
75,Joe,Harper,10146 Mesta Pass,Santa Barbara,CA,93106,5403457828,Joe.Harper@digitalsales.com,96433.04,region manager
76,Mildred,Coleman,10 8th Trail,Minneapolis,MN,55448,2381551049,Mildred.Coleman@digitalsales.com,25664.09,salesperson
77,George,Patterson,7523 Huxley Street,Allentown,PA,18105,1166024497,George.Patterson@digitalsales.com,63768.56,salesperson
78,Dorothy,Campbell,3 Claremont Plaza,Gatesville,TX,76598,827753636,Dorothy.Campbell@digitalsales.com,77374.22,salesperson
79,Amanda,Adams,674 Bonner Park,Lubbock,TX,79491,2885949513,Amanda.Adams@digitalsales.com,80029.90,salesperson
80,Sara,Black,3 Morning Place,Asheville,NC,28805,681470946,Sara.Black@digitalsales.com,99596.46,region manager
81,Laura,Wood,94 American Ash Parkway,Norfolk,VA,23509,6798056933,Laura.Wood@digitalsales.com,26591.77,salesperson
82,Russell,Butler,8715 Evergreen Court,Carlsbad,CA,92013,1619126583,Russell.Butler@digitalsales.com,48165.00,salesperson
83,Irene,Powell,466 Evergreen Plaza,Detroit,MI,48267,3827401803,Irene.Powell@digitalsales.com,29812.42,salesperson
84,Joyce,Young,4 Westridge Alley,Rochester,NY,14619,8290907407,Joyce.Young@digitalsales.com,24832.15,salesperson
85,Teresa,Green,11036 Leroy Junction,Tucson,AZ,85705,4071955195,Teresa.Green@digitalsales.com,56013.60,salesperson
86,Annie,Gomez,7274 Fairfield Way,Fort Worth,TX,76121,9942998717,Annie.Gomez@digitalsales.com,90133.67,store manager
87,Ernest,Hart,9996 Park Meadow Crossing,Sunnyvale,CA,94089,7085909815,Ernest.Hart@digitalsales.com,45316.82,salesperson
88,Cynthia,Holmes,9 Dovetail Hill,Lancaster,PA,17622,2033899652,Cynthia.Holmes@digitalsales.com,94763.18,store manager
89,Irene,Baker,2 Cordelia Drive,Trenton,NJ,8603,8965051478,Irene.Baker@digitalsales.com,92624.12,store manager
90,Donald,Morrison,76323 Oak Plaza,San Antonio,TX,78250,3132482481,Donald.Morrison@digitalsales.com,39189.77,salesperson
91,Dennis,Gibson,2 Kennedy Place,Knoxville,TN,37995,1332234356,Dennis.Gibson@digitalsales.com,40055.73,salesperson
92,Howard,Carpenter,85982 Granby Court,Newport News,VA,23612,7206635810,Howard.Carpenter@digitalsales.com,46037.21,salesperson
93,Laura,Weaver,172 Sycamore Way,Alhambra,CA,91841,724523086,Laura.Weaver@digitalsales.com,83618.24,salesperson
94,Keith,Peters,5 Stuart Pass,Orlando,FL,32868,1714364570,Keith.Peters@digitalsales.com,64864.23,salesperson
95,Alice,Cole,60 Loftsgordon Drive,Inglewood,CA,90305,5105000653,Alice.Cole@digitalsales.com,73321.50,salesperson
96,Teresa,Lopez,9 Longview Street,Irvine,CA,92619,6419429260,Teresa.Lopez@digitalsales.com,32997.37,salesperson
97,Evelyn,Bell,815 Cottonwood Drive,Fairfax,VA,22036,6609307161,Evelyn.Bell@digitalsales.com,45403.23,salesperson
98,Donna,Fowler,768 Larry Junction,Anaheim,CA,92825,9065888740,Donna.Fowler@digitalsales.com,36122.84,salesperson
99,Paula,Larson,4384 Mccormick Circle,Phoenix,AZ,85045,6313764943,Paula.Larson@digitalsales.com,54982.24,salesperson
100,Tina,Morgan,1 Porter Point,Hartford,CT,6160,1476878334,Tina.Morgan@digitalsales.com,45004.93,salesperson
101,Christina,Fox,062 Bartillon Way,Elmira,NY,14905,2672894771,Christina.Fox@digitalsales.com,59564.50,salesperson
102,Doris,Martin,3 Elmside Way,Winston Salem,NC,27110,7130067386,Doris.Martin@digitalsales.com,48561.64,salesperson
103,Willie,Bennett,3 Jana Terrace,El Paso,TX,79945,1748796278,Willie.Bennett@digitalsales.com,96010.75,region manager
104,Keith,Crawford,9097 Kenwood Crossing,Farmington,MI,48335,3482011217,Keith.Crawford@digitalsales.com,78336.99,salesperson
105,Norma,Cunningham,8919 Lakeland Junction,Anchorage,AK,99522,1009073687,Norma.Cunningham@digitalsales.com,31245.39,salesperson
106,Marilyn,Reyes,3 Donald Lane,Spring,TX,77388,3738342805,Marilyn.Reyes@digitalsales.com,38913.69,salesperson
107,Chris,Gardner,3 Bay Way,Denver,CO,80217,3713113550,Chris.Gardner@digitalsales.com,88010.08,store manager
108,Randy,Porter,9167 Oak Point,Anchorage,AK,99507,4221208104,Randy.Porter@digitalsales.com,94772.70,store manager
109,Jonathan,Grant,6646 Monica Center,Huntington,WV,25721,9655880077,Jonathan.Grant@digitalsales.com,49331.52,salesperson
110,Irene,Jones,85 Commercial Avenue,New York City,NY,10203,4326731764,Irene.Jones@digitalsales.com,70918.07,salesperson
111,Amanda,Harris,52381 North Junction,Fort Pierce,FL,34981,380517980,Amanda.Harris@digitalsales.com,69016.54,salesperson
112,Jerry,Green,6774 Dakota Court,New Orleans,LA,70154,6893228231,Jerry.Green@digitalsales.com,76513.99,salesperson
113,David,Austin,16361 Butternut Center,Gaithersburg,MD,20883,7937332535,David.Austin@digitalsales.com,25210.77,salesperson
114,Dennis,Fields,5 Sauthoff Center,Evansville,IN,47737,3108706354,Dennis.Fields@digitalsales.com,51865.86,salesperson
115,Carol,Porter,442 Fulton Park,San Antonio,TX,78255,5695359970,Carol.Porter@digitalsales.com,27132.44,salesperson
116,Joseph,Phillips,58202 Stuart Park,Washington,DC,20456,563765488,Joseph.Phillips@digitalsales.com,81819.00,salesperson
117,Samuel,Larson,78 Algoma Lane,Dayton,OH,45454,6018330713,Samuel.Larson@digitalsales.com,78703.62,salesperson
118,Richard,Hansen,008 Mcguire Plaza,Dallas,TX,75205,1052954520,Richard.Hansen@digitalsales.com,68535.16,salesperson
119,Lisa,Ramos,7340 Stoughton Way,Arlington,VA,22217,8095968356,Lisa.Ramos@digitalsales.com,21571.96,salesperson
120,Patrick,Alexander,413 Mariners Cove Circle,Columbus,OH,43240,9992787492,Patrick.Alexander@digitalsales.com,81696.17,salesperson
121,Judy,Wagner,5780 Truax Alley,Sacramento,CA,95818,1272244893,Judy.Wagner@digitalsales.com,40444.05,salesperson
122,Ruth,Andrews,80 Spaight Point,San Diego,CA,92160,4307061266,Ruth.Andrews@digitalsales.com,52038.15,salesperson
123,Jeffrey,Roberts,75348 Clemons Alley,Omaha,NE,68179,422720110,Jeffrey.Roberts@digitalsales.com,85550.43,store manager
124,Philip,Hicks,3779 Pankratz Hill,Fullerton,CA,92640,5947738373,Philip.Hicks@digitalsales.com,87117.04,store manager
125,Stephanie,Hamilton,77 Magdeline Alley,Washington,DC,20535,2799966755,Stephanie.Hamilton@digitalsales.com,55178.48,salesperson
126,Jean,Jenkins,410 Daystar Trail,Dayton,OH,45408,7254787770,Jean.Jenkins@digitalsales.com,22758.14,salesperson
127,Samuel,Nguyen,63 Esker Road,Houston,TX,77085,7071787586,Samuel.Nguyen@digitalsales.com,40945.87,salesperson
128,Jennifer,Greene,97777 Corscot Lane,San Diego,CA,92132,1702567768,Jennifer.Greene@digitalsales.com,62340.95,salesperson
129,Jane,Snyder,83060 Reinke Center,Worcester,MA,1654,9766280399,Jane.Snyder@digitalsales.com,71987.12,salesperson
130,Alan,Mitchell,79575 Dawn Park,Jersey City,NJ,7310,9791484369,Alan.Mitchell@digitalsales.com,77470.71,salesperson
131,Frances,Green,05936 Stuart Parkway,Nashville,TN,37250,2787404909,Frances.Green@digitalsales.com,69373.49,salesperson
132,Johnny,Jordan,0 Mifflin Court,Anderson,SC,29625,5503399529,Johnny.Jordan@digitalsales.com,35232.76,salesperson
133,Richard,Hansen,65 Green Ridge Drive,Omaha,NE,68124,9259428453,Richard.Hansen@digitalsales.com,23948.82,salesperson
134,Joan,Stephens,423 Monica Drive,Youngstown,OH,44555,3328510138,Joan.Stephens@digitalsales.com,21923.53,salesperson
135,Doris,Frazier,77216 Hooker Court,Charleston,WV,25326,9133630397,Doris.Frazier@digitalsales.com,61149.86,salesperson
136,Harold,Carr,2692 Michigan Point,Washington,DC,20260,8476641928,Harold.Carr@digitalsales.com,41626.96,salesperson
137,Amy,Lopez,4913 Springs Plaza,Lafayette,LA,70593,366233266,Amy.Lopez@digitalsales.com,87084.50,store manager
138,Patrick,Daniels,00 Harper Avenue,Suffolk,VA,23436,2007054805,Patrick.Daniels@digitalsales.com,60142.69,salesperson
139,Jerry,Hernandez,38 Ridgeway Court,Sparks,NV,89436,7581373244,Jerry.Hernandez@digitalsales.com,23551.73,salesperson
140,Mary,Larson,6286 Monica Drive,Mobile,AL,36670,4012831018,Mary.Larson@digitalsales.com,94843.85,store manager
141,Annie,Castillo,52232 Schlimgen Way,Greensboro,NC,27499,7314166762,Annie.Castillo@digitalsales.com,53601.76,salesperson
142,Anthony,Stevens,62 Onsgard Terrace,Orlando,FL,32813,9658035231,Anthony.Stevens@digitalsales.com,63863.27,salesperson
143,Jesse,Garrett,642 Stoughton Street,Richmond,VA,23228,7848345101,Jesse.Garrett@digitalsales.com,25077.46,salesperson
144,Shirley,Palmer,0 Acker Place,Boston,MA,2203,5599013860,Shirley.Palmer@digitalsales.com,66947.69,salesperson
145,Nancy,Campbell,4741 Sullivan Trail,Las Vegas,NV,89160,5243281601,Nancy.Campbell@digitalsales.com,63826.01,salesperson
146,Donald,Willis,8371 Swallow Hill,Arlington,VA,22225,2571208984,Donald.Willis@digitalsales.com,83529.65,salesperson
147,Charles,Fields,2565 Miller Hill,Tacoma,WA,98417,8815460841,Charles.Fields@digitalsales.com,20139.04,salesperson
148,Arthur,Mcdonald,4252 Leroy Circle,Philadelphia,PA,19160,2156537047,Arthur.Mcdonald@digitalsales.com,38076.22,salesperson
149,Antonio,Clark,96919 Pankratz Way,Baltimore,MD,21290,8851778803,Antonio.Clark@digitalsales.com,74481.99,salesperson
150,Cheryl,Cole,29 Katie Pass,Abilene,TX,79699,3838833813,Cheryl.Cole@digitalsales.com,91986.99,store manager
151,Patricia,Jackson,45 Cherokee Center,Sacramento,CA,95838,5745677146,Patricia.Jackson@digitalsales.com,88159.38,store manager
152,Thomas,Gibson,4 Dexter Lane,Tucson,AZ,85725,5596990415,Thomas.Gibson@digitalsales.com,36162.87,salesperson
153,Charles,Garrett,2712 High Crossing Lane,Saint Paul,MN,55103,2777818046,Charles.Garrett@digitalsales.com,63578.79,salesperson
154,Beverly,Henry,69944 Derek Drive,Pensacola,FL,32590,6882884899,Beverly.Henry@digitalsales.com,84640.40,store manager
155,Cheryl,Collins,29569 Dayton Alley,Omaha,NE,68164,1083436352,Cheryl.Collins@digitalsales.com,25910.96,salesperson
156,Victor,Castillo,57899 Anhalt Alley,Fort Myers,FL,33994,2934195713,Victor.Castillo@digitalsales.com,99004.99,region manager
157,Janice,Fox,09995 Vermont Street,Colorado Springs,CO,80995,4303420322,Janice.Fox@digitalsales.com,28215.37,salesperson
158,Sean,Hunt,0955 Gulseth Drive,Flushing,NY,11388,4619501087,Sean.Hunt@digitalsales.com,66693.36,salesperson
159,Susan,Franklin,66 Roxbury Alley,Shreveport,LA,71105,7525824736,Susan.Franklin@digitalsales.com,79708.97,salesperson
160,Andrea,Howell,7945 Express Hill,Racine,WI,53405,7667321702,Andrea.Howell@digitalsales.com,74685.48,salesperson
161,Maria,Williamson,88 Green Ridge Alley,Garden Grove,CA,92645,8541903175,Maria.Williamson@digitalsales.com,43940.89,salesperson
162,Anthony,Carr,1 Sherman Place,Boulder,CO,80310,4165982882,Anthony.Carr@digitalsales.com,48678.39,salesperson
163,Dorothy,Harris,8914 Del Mar Pass,Fargo,ND,58106,8812524867,Dorothy.Harris@digitalsales.com,96824.04,region manager
164,Carl,Jordan,31101 Merrick Avenue,Rochester,MN,55905,1758058332,Carl.Jordan@digitalsales.com,40736.52,salesperson
165,Willie,Wagner,2969 Merchant Road,Lafayette,LA,70593,2654362353,Willie.Wagner@digitalsales.com,58793.27,salesperson
166,Sharon,Henderson,59 Grover Alley,Charleston,WV,25305,6556418280,Sharon.Henderson@digitalsales.com,73019.65,salesperson
167,Brenda,Stewart,20 Monica Pass,Pompano Beach,FL,33069,2520421486,Brenda.Stewart@digitalsales.com,54426.12,salesperson
168,Stephen,Weaver,6577 Schiller Crossing,Chattanooga,TN,37405,3594646401,Stephen.Weaver@digitalsales.com,69258.03,salesperson
169,Judith,Owens,36632 Scoville Terrace,Littleton,CO,80126,2634471842,Judith.Owens@digitalsales.com,70154.09,salesperson
170,Jerry,Kelley,423 4th Center,Bethlehem,PA,18018,2901365511,Jerry.Kelley@digitalsales.com,50704.88,salesperson
171,Henry,Watkins,19 Nova Plaza,Salt Lake City,UT,84130,7281681547,Henry.Watkins@digitalsales.com,44973.16,salesperson
172,Marie,Garrett,15376 Homewood Road,Chicago,IL,60604,2872039233,Marie.Garrett@digitalsales.com,34984.09,salesperson
173,Amanda,Torres,967 Hagan Road,Salt Lake City,UT,84135,1850563088,Amanda.Torres@digitalsales.com,84676.74,store manager
174,Scott,Graham,5733 Arrowood Trail,Newark,NJ,7104,5019751478,Scott.Graham@digitalsales.com,39481.91,salesperson
175,Jeffrey,Harrison,9 Linden Junction,Murfreesboro,TN,37131,6228431623,Jeffrey.Harrison@digitalsales.com,77949.54,salesperson
176,Annie,Phillips,13456 Granby Trail,Washington,DC,20535,7236254583,Annie.Phillips@digitalsales.com,67542.12,salesperson
177,Chris,Palmer,6 Cardinal Court,Oakland,CA,94627,1695375871,Chris.Palmer@digitalsales.com,44422.36,salesperson
178,Philip,Freeman,5 Packers Pass,Elmira,NY,14905,1364045743,Philip.Freeman@digitalsales.com,86059.63,store manager
179,Gloria,Hunter,341 6th Crossing,Santa Fe,NM,87592,5114057923,Gloria.Hunter@digitalsales.com,33029.59,salesperson
180,Earl,Palmer,59 Walton Avenue,Washington,DC,20535,4895950314,Earl.Palmer@digitalsales.com,50770.49,salesperson
181,Cheryl,Nguyen,30746 Gulseth Point,Sacramento,CA,95833,2333280329,Cheryl.Nguyen@digitalsales.com,58232.26,salesperson
182,Walter,Perry,92 Laurel Alley,Portland,ME,4109,4036497023,Walter.Perry@digitalsales.com,50177.88,salesperson
183,Louise,Lewis,87766 Delladonna Lane,Indianapolis,IN,46247,2789196336,Louise.Lewis@digitalsales.com,98555.10,region manager
184,Thomas,Johnson,12116 Sunnyside Plaza,San Francisco,CA,94142,585854974,Thomas.Johnson@digitalsales.com,92537.22,store manager
185,Jane,Hernandez,24144 Golden Leaf Court,Terre Haute,IN,47812,9580789872,Jane.Hernandez@digitalsales.com,31608.86,salesperson
186,Dorothy,Webb,82036 Colorado Hill,Philadelphia,PA,19125,9610559282,Dorothy.Webb@digitalsales.com,82851.50,salesperson
187,Nancy,Stephens,3306 Banding Terrace,Los Angeles,CA,90005,8372803177,Nancy.Stephens@digitalsales.com,25982.78,salesperson
188,Paul,Jacobs,3 Sage Trail,Richmond,VA,23277,3916969571,Paul.Jacobs@digitalsales.com,57743.05,salesperson
189,Mary,Cole,0088 Holy Cross Way,Katy,TX,77493,1806097704,Mary.Cole@digitalsales.com,69360.31,salesperson
190,Johnny,Alexander,78163 Sauthoff Pass,Lakeland,FL,33811,4916382121,Johnny.Alexander@digitalsales.com,41358.42,salesperson
191,Thomas,Armstrong,98 Clarendon Way,Prescott,AZ,86305,3494953776,Thomas.Armstrong@digitalsales.com,66092.28,salesperson
192,Cheryl,Stone,3070 Larry Crossing,El Paso,TX,79955,2863228750,Cheryl.Stone@digitalsales.com,73248.84,salesperson
193,Samuel,Perez,2 Bay Pass,Dallas,TX,75210,3989452490,Samuel.Perez@digitalsales.com,60727.13,salesperson
194,Julie,Mccoy,51188 Knutson Drive,Jeffersonville,IN,47134,6817535311,Julie.Mccoy@digitalsales.com,77371.75,salesperson
195,Donald,Rivera,8311 Bartillon Court,Washington,DC,20525,2637339251,Donald.Rivera@digitalsales.com,80859.61,salesperson
196,Denise,Shaw,84245 Sunnyside Street,Washington,DC,20041,1435269398,Denise.Shaw@digitalsales.com,33491.67,salesperson
197,Laura,Simpson,56619 Fuller Parkway,Shawnee Mission,KS,66286,957673620,Laura.Simpson@digitalsales.com,57171.06,salesperson
198,Carolyn,Griffin,135 Meadow Ridge Street,Honolulu,HI,96840,5824374584,Carolyn.Griffin@digitalsales.com,61199.87,salesperson
199,Brandon,Sullivan,2258 Alpine Trail,Seattle,WA,98109,1356100796,Brandon.Sullivan@digitalsales.com,45596.84,salesperson
200,Gary,Austin,3838 Bartillon Lane,San Francisco,CA,94105,9632868550,Gary.Austin@digitalsales.com,99511.94,region manager
201,Anna,Austin,10 Fair Oaks Road,San Jose,CA,95150,9019438781,Anna.Austin@digitalsales.com,23207.83,salesperson
202,Victor,Matthews,6434 Summer Ridge Alley,Albuquerque,NM,87110,1965784192,Victor.Matthews@digitalsales.com,81379.18,salesperson
203,Evelyn,Stanley,0710 Westerfield Way,Richmond,VA,23272,946709133,Evelyn.Stanley@digitalsales.com,20531.11,salesperson
204,Andrea,George,49 Crest Line Pass,Waterbury,CT,6726,977818042,Andrea.George@digitalsales.com,20346.56,salesperson
205,Gloria,Howell,93 North Alley,Houston,TX,77065,6865492861,Gloria.Howell@digitalsales.com,84363.65,store manager
206,Keith,Sims,8038 Rutledge Terrace,Wilmington,DE,19810,6754931178,Keith.Sims@digitalsales.com,80352.53,salesperson
207,Evelyn,Garrett,41 International Place,Washington,DC,20535,2760998390,Evelyn.Garrett@digitalsales.com,26711.05,salesperson
208,Barbara,Carter,51280 Montana Point,Concord,CA,94522,4293224375,Barbara.Carter@digitalsales.com,47599.52,salesperson
209,Catherine,Taylor,5 Ruskin Way,Charlotte,NC,28299,2289174247,Catherine.Taylor@digitalsales.com,82672.27,salesperson
210,Juan,Carroll,92548 Holy Cross Park,Maple Plain,MN,55579,2046928801,Juan.Carroll@digitalsales.com,28055.63,salesperson
211,Ernest,Green,4 Clove Point,Wilmington,DE,19897,9768547413,Ernest.Green@digitalsales.com,71837.56,salesperson
212,Russell,Warren,6449 Hazelcrest Circle,Las Vegas,NV,89110,8362290404,Russell.Warren@digitalsales.com,68703.61,salesperson
